기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,상권_변화_지표,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균,서울_운영_영업_개월_평균,서울_폐업_영업_개월_평균
20232,A,골목상권,3110024,혜회동주민센터,HH,정체,110,58,106,52
20233,A,골목상권,3110025,충신시장옆,HL,상권축소,123,52,107,52
20231,A,골목상권,3110025,충신시장옆,HL,상권축소,117,50,104,52
20232,A,골목상권,3110025,충신시장옆,HL,상권축소,120,52,106,52
20233,A,골목상권,3110026,종로5가역 4번,HH,정체,137,72,107,52
20231,A,골목상권,3110026,종로5가역 4번,HH,정체,131,70,104,52
20232,A,골목상권,3110026,종로5가역 4번,HH,정체,135,71,106,52
20233,A,골목상권,3110027,혜화역 1번,LL,다이나믹,69,51,107,52
20231,A,골목상권,3110027,혜화역 1번,LL,다이나믹,66,51,104,52
20232,A,골목상권,3110027,혜화역 1번,LL,다이나믹,67,51,106,52
20233,A,골목상권,3110028,이화달팽이길,HH,정체,109,53,107,52
20231,A,골목상권,3110028,이화달팽이길,HH,정체,105,53,104,52
20232,A,골목상권,3110028,이화달팽이길,HH,정체,107,53,106,52
20233,A,골목상권,3110029,동대문역 1번,HH,정체,109,58,107,52
20231,A,골목상권,3110029,동대문역 1번,HH,정체,110,57,104,52
20232,A,골목상권,3110029,동대문역 1번,HH,정체,110,58,106,52
20233,A,골목상권,3110030,동대문역 3번,HH,정체,162,68,107,52
20231,A,골목상권,3110030,동대문역 3번,HH,정체,167,66,104,52
20232,A,골목상권,3110030,동대문역 3번,HH,정체,170,66,106,52
20233,A,골목상권,3110031,창신역 1번,HH,정체,113,55,107,52
20231,A,골목상권,3110031,창신역 1번,HL,상권축소,115,50,104,52
20232,A,골목상권,3110031,창신역 1번,HL,상권축소,118,51,106,52
20233,A,골목상권,3110032,수족관거리,HH,정체,124,57,107,52
20231,A,골목상권,3110032,수족관거리,HH,정체,123,56,104,52
20232,A,골목상권,3110032,수족관거리,HH,정체,127,58,106,52
20233,A,골목상권,3110033,창신역 4번,HH,정체,121,65,107,52
20231,A,골목상권,3110033,창신역 4번,HH,정체,113,66,104,52
20232,A,골목상권,3110033,창신역 4번,HH,정체,114,65,106,52
20233,A,골목상권,3110034,창신1동주민센터,HH,정체,125,77,107,52
20231,A,골목상권,3110034,창신1동주민센터,HH,정체,123,76,104,52
20232,A,골목상권,3110034,창신1동주민센터,HH,정체,123,77,106,52
20233,A,골목상권,3110057,황학코아루아파트,HH,정체,113,62,107,52
20231,A,골목상권,3110057,황학코아루아파트,HH,정체,108,61,104,52
20232,A,골목상권,3110057,황학코아루아파트,HH,정체,110,62,106,52
20233,A,골목상권,3110058,성심여자고등학교,HH,정체,136,58,107,52
20231,A,골목상권,3110058,성심여자고등학교,HH,정체,131,58,104,52
20232,A,골목상권,3110058,성심여자고등학교,HH,정체,132,58,106,52
20233,A,골목상권,3110059,새남터성지,HH,정체,115,67,107,52
20231,A,골목상권,3110059,새남터성지,HH,정체,110,67,104,52
20232,A,골목상권,3110059,새남터성지,HH,정체,114,67,106,52
20233,A,골목상권,3110036,동묘앞역 3번,LL,다이나믹,87,37,107,52
20231,A,골목상권,3110036,동묘앞역 3번,LL,다이나믹,88,36,104,52
20232,A,골목상권,3110036,동묘앞역 3번,LL,다이나믹,88,36,106,52
20233,A,골목상권,3110040,중구회현체육센터(정화예술대남산캠퍼스),HH,정체,154,71,107,52
20231,A,골목상권,3110040,중구회현체육센터(정화예술대남산캠퍼스),HH,정체,150,71,104,52
20232,A,골목상권,3110040,중구회현체육센터(정화예술대남산캠퍼스),HH,정체,152,71,106,52
20233,A,골목상권,3110041,남산케이블카,LL,다이나믹,96,50,107,52
20231,A,골목상권,3110041,남산케이블카,LL,다이나믹,94,49,104,52
20232,A,골목상권,3110041,남산케이블카,LL,다이나믹,97,50,106,52
20233,A,골목상권,3110042,남산골공원옆,LH,상권확장,105,59,107,52
20231,A,골목상권,3110042,남산골공원옆,LH,상권확장,99,60,104,52
20232,A,골목상권,3110042,남산골공원옆,LH,상권확장,101,60,106,52
20233,A,골목상권,3110043,충무초등학교,HH,정체,132,59,107,52
20231,A,골목상권,3110043,충무초등학교,HH,정체,130,58,104,52
20232,A,골목상권,3110043,충무초등학교,HH,정체,130,59,106,52
20233,A,골목상권,3110044,관성묘,HL,상권축소,168,49,107,52
20231,A,골목상권,3110044,관성묘,HL,상권축소,163,49,104,52
20232,A,골목상권,3110044,관성묘,HL,상권축소,163,49,106,52
20233,A,골목상권,3110045,동대문역사문화공원역 5번,HH,정체,120,61,107,52
20231,A,골목상권,3110045,동대문역사문화공원역 5번,HH,정체,122,59,104,52
20232,A,골목상권,3110045,동대문역사문화공원역 5번,HH,정체,120,61,106,52
20233,A,골목상권,3110046,버티고개,LL,다이나믹,63,48,107,52
20231,A,골목상권,3110046,버티고개,LL,다이나믹,57,49,104,52
20232,A,골목상권,3110046,버티고개,LL,다이나믹,59,48,106,52
20233,A,골목상권,3110047,다산성곽길,LL,다이나믹,78,35,107,52
20231,A,골목상권,3110047,다산성곽길,LL,다이나믹,75,36,104,52
20232,A,골목상권,3110047,다산성곽길,LL,다이나믹,78,35,106,52
20233,A,골목상권,3110048,장충동주민센터,HH,정체,108,60,107,52
20231,A,골목상권,3110048,장충동주민센터,LH,상권확장,104,59,104,52
20232,A,골목상권,3110048,장충동주민센터,LH,상권확장,106,59,106,52
20233,A,골목상권,3110049,장충단 고개,LH,상권확장,97,53,107,52
20231,A,골목상권,3110049,장충단 고개,LH,상권확장,91,53,104,52
20232,A,골목상권,3110049,장충단 고개,LH,상권확장,96,53,106,52
20233,A,골목상권,3110053,청구역 1번,HH,정체,111,52,107,52
20231,A,골목상권,3110053,청구역 1번,HH,정체,111,52,104,52
20232,A,골목상권,3110053,청구역 1번,HH,정체,111,52,106,52
20233,A,골목상권,3110054,청구역 3번,LL,다이나믹,94,47,107,52
20231,A,골목상권,3110054,청구역 3번,LL,다이나믹,93,47,104,52
20232,A,골목상권,3110054,청구역 3번,LL,다이나믹,93,47,106,52
20233,A,골목상권,3110055,황학동벼룩시장,HH,정체,155,72,107,52
20231,A,골목상권,3110055,황학동벼룩시장,HH,정체,158,72,104,52
20232,A,골목상권,3110055,황학동벼룩시장,HH,정체,157,72,106,52
20233,A,골목상권,3110056,신당역 3번,LL,다이나믹,90,50,107,52
20231,A,골목상권,3110056,신당역 3번,LL,다이나믹,89,49,104,52
20232,A,골목상권,3110056,신당역 3번,LL,다이나믹,90,49,106,52
20233,A,골목상권,3110079,후암동주민센터,LH,상권확장,100,55,107,52
20231,A,골목상권,3110079,후암동주민센터,LH,상권확장,97,55,104,52
20232,A,골목상권,3110079,후암동주민센터,LH,상권확장,98,55,106,52
20233,A,골목상권,3110080,해방촌예술마을,LL,다이나믹,92,48,107,52
20231,A,골목상권,3110080,해방촌예술마을,LL,다이나믹,94,47,104,52
20232,A,골목상권,3110080,해방촌예술마을,LL,다이나믹,92,47,106,52
20233,A,골목상권,3110081,해방촌 남동측,LL,다이나믹,74,46,107,52
20231,A,골목상권,3110081,해방촌 남동측,LL,다이나믹,74,45,104,52
20232,A,골목상권,3110081,해방촌 남동측,LL,다이나믹,75,46,106,52
20233,A,골목상권,3110050,약수역 7번,LH,상권확장,90,61,107,52
20231,A,골목상권,3110050,약수역 7번,LH,상권확장,87,61,104,52
20232,A,골목상권,3110050,약수역 7번,LH,상권확장,88,61,106,52
20233,A,골목상권,3110051,한양공고앞 교차로,LH,상권확장,93,60,107,52
20231,A,골목상권,3110051,한양공고앞 교차로,LH,상권확장,91,61,104,52
20232,A,골목상권,3110051,한양공고앞 교차로,LH,상권확장,95,60,106,52
20233,A,골목상권,3110052,장충초등학교,HH,정체,121,59,107,52
20231,A,골목상권,3110052,장충초등학교,HH,정체,123,59,104,52
20232,A,골목상권,3110052,장충초등학교,HH,정체,122,59,106,52
20233,A,골목상권,3110060,효창공원앞역 6번,LH,상권확장,105,53,107,52
20231,A,골목상권,3110060,효창공원앞역 6번,LH,상권확장,100,53,104,52
20232,A,골목상권,3110060,효창공원앞역 6번,LH,상권확장,102,53,106,52
20233,A,골목상권,3110061,효창동주민센터,LH,상권확장,96,59,107,52
20231,A,골목상권,3110061,효창동주민센터,LH,상권확장,90,59,104,52
20232,A,골목상권,3110061,효창동주민센터,LH,상권확장,93,59,106,52
20233,A,골목상권,3110062,한강로동땡땡거리(은행나무길),LH,상권확장,106,65,107,52
20231,A,골목상권,3110062,한강로동땡땡거리(은행나무길),HH,정체,105,64,104,52
20232,A,골목상권,3110062,한강로동땡땡거리(은행나무길),HH,정체,108,64,106,52
20233,A,골목상권,3110063,효창공원앞역 5번,HH,정체,133,60,107,52
20231,A,골목상권,3110063,효창공원앞역 5번,HH,정체,132,59,104,52
20232,A,골목상권,3110063,효창공원앞역 5번,HH,정체,132,60,106,52
20233,A,골목상권,3110064,효창공원앞역 2번,HH,정체,120,58,107,52
20231,A,골목상권,3110064,효창공원앞역 2번,HH,정체,117,58,104,52
20232,A,골목상권,3110064,효창공원앞역 2번,HH,정체,119,59,106,52
20233,A,골목상권,3110082,용산구청,LL,다이나믹,83,52,107,52
20231,A,골목상권,3110082,용산구청,LH,상권확장,79,52,104,52
20232,A,골목상권,3110082,용산구청,LH,상권확장,80,52,106,52
20233,A,골목상권,3110083,서빙고역 1번,LH,상권확장,105,56,107,52
20231,A,골목상권,3110083,서빙고역 1번,LH,상권확장,100,56,104,52
20232,A,골목상권,3110083,서빙고역 1번,LH,상권확장,103,56,106,52
20233,A,골목상권,3110084,경리단길북측,LL,다이나믹,82,51,107,52
20231,A,골목상권,3110084,경리단길북측,LL,다이나믹,81,49,104,52
20232,A,골목상권,3110084,경리단길북측,LL,다이나믹,81,50,106,52
20233,A,골목상권,3110085,경리단길남측,LL,다이나믹,91,43,107,52
20231,A,골목상권,3110085,경리단길남측,LL,다이나믹,86,43,104,52
20232,A,골목상권,3110085,경리단길남측,LL,다이나믹,88,43,106,52
20233,A,골목상권,3110086,이태원역 북측,LL,다이나믹,93,49,107,52
20231,A,골목상권,3110086,이태원역 북측,LL,다이나믹,86,50,104,52
20232,A,골목상권,3110086,이태원역 북측,LL,다이나믹,92,50,106,52
20233,A,골목상권,3110065,남정초등학교,HH,정체,143,55,107,52
20231,A,골목상권,3110065,남정초등학교,HH,정체,134,56,104,52
20232,A,골목상권,3110065,남정초등학교,HH,정체,138,56,106,52
20233,A,골목상권,3110066,서울역 15번,LH,상권확장,105,59,107,52
20231,A,골목상권,3110066,서울역 15번,LH,상권확장,103,58,104,52
20232,A,골목상권,3110066,서울역 15번,LH,상권확장,104,58,106,52
20233,A,골목상권,3110067,배문고등학교,HH,정체,118,56,107,52
20231,A,골목상권,3110067,배문고등학교,HH,정체,120,55,104,52
20232,A,골목상권,3110067,배문고등학교,HH,정체,119,56,106,52
20233,A,골목상권,3110068,남영역 1번,HH,정체,110,63,107,52
20231,A,골목상권,3110068,남영역 1번,HH,정체,105,63,104,52
20232,A,골목상권,3110068,남영역 1번,HH,정체,107,63,106,52
20233,A,골목상권,3110069,숙대입구,LL,다이나믹,96,50,107,52
20231,A,골목상권,3110069,숙대입구,LL,다이나믹,97,50,104,52
20232,A,골목상권,3110069,숙대입구,LL,다이나믹,98,50,106,52
20233,A,골목상권,3110070,용산세무서,HH,정체,172,66,107,52
20231,A,골목상권,3110070,용산세무서,HH,정체,173,66,104,52
20232,A,골목상권,3110070,용산세무서,HH,정체,176,66,106,52
20233,A,골목상권,3110071,한강미주맨션아파트,HH,정체,160,61,107,52
20231,A,골목상권,3110071,한강미주맨션아파트,HH,정체,159,61,104,52
20232,A,골목상권,3110071,한강미주맨션아파트,HH,정체,160,61,106,52
20233,A,골목상권,3110072,열정도,LL,다이나믹,97,51,107,52
20231,A,골목상권,3110072,열정도,LL,다이나믹,96,49,104,52
20232,A,골목상권,3110072,열정도,LL,다이나믹,95,49,106,52
20233,A,골목상권,3110073,삼각지역 3번,LL,다이나믹,80,49,107,52
20231,A,골목상권,3110073,삼각지역 3번,LL,다이나믹,83,50,104,52
20232,A,골목상권,3110073,삼각지역 3번,LL,다이나믹,80,49,106,52
20233,A,골목상권,3110074,서울역 12번,LH,상권확장,100,59,107,52
20231,A,골목상권,3110074,서울역 12번,LH,상권확장,97,59,104,52
20232,A,골목상권,3110074,서울역 12번,LH,상권확장,97,59,106,52
20233,A,골목상권,3110075,숙대입구역 1번,HH,정체,119,55,107,52
20231,A,골목상권,3110075,숙대입구역 1번,HH,정체,117,54,104,52
20232,A,골목상권,3110075,숙대입구역 1번,HH,정체,119,54,106,52
20233,A,골목상권,3110076,삼각지역 14번,HH,정체,123,58,107,52
20231,A,골목상권,3110076,삼각지역 14번,HH,정체,125,55,104,52
20232,A,골목상권,3110076,삼각지역 14번,HH,정체,123,58,106,52
20233,A,골목상권,3110077,삼광초등학교,HH,정체,113,53,107,52
20231,A,골목상권,3110077,삼광초등학교,HH,정체,108,53,104,52
20232,A,골목상권,3110077,삼광초등학교,HH,정체,110,53,106,52
20233,A,골목상권,3110078,이촌동점보아파트,HH,정체,139,66,107,52
20231,A,골목상권,3110078,이촌동점보아파트,HH,정체,132,66,104,52
20232,A,골목상권,3110078,이촌동점보아파트,HH,정체,139,66,106,52
20233,A,골목상권,3110110,상왕십리역 6번,LH,상권확장,89,56,107,52
20231,A,골목상권,3110110,상왕십리역 6번,LH,상권확장,83,57,104,52
20232,A,골목상권,3110110,상왕십리역 6번,LH,상권확장,86,56,106,52
20233,A,골목상권,3110111,대현산장미원,LL,다이나믹,95,26,107,52
20231,A,골목상권,3110111,대현산장미원,LL,다이나믹,89,26,104,52
20232,A,골목상권,3110111,대현산장미원,LL,다이나믹,92,26,106,52
20233,A,골목상권,3110087,이태원엔틱가구거리,HH,정체,120,58,107,52
20231,A,골목상권,3110087,이태원엔틱가구거리,HH,정체,115,58,104,52
20232,A,골목상권,3110087,이태원엔틱가구거리,HH,정체,115,58,106,52
20233,A,골목상권,3110088,오산고등학교,HL,상권축소,109,48,107,52
20231,A,골목상권,3110088,오산고등학교,HL,상권축소,105,48,104,52
20232,A,골목상권,3110088,오산고등학교,HL,상권축소,109,48,106,52
20233,A,골목상권,3110089,서빙고동주민센터,LH,상권확장,95,76,107,52
20231,A,골목상권,3110089,서빙고동주민센터,LH,상권확장,89,76,104,52
20232,A,골목상권,3110089,서빙고동주민센터,LH,상권확장,93,76,106,52
20233,A,골목상권,3110090,한국폴리텍대학서울정수캠퍼스,LL,다이나믹,94,44,107,52
20231,A,골목상권,3110090,한국폴리텍대학서울정수캠퍼스,LL,다이나믹,91,43,104,52
20232,A,골목상권,3110090,한국폴리텍대학서울정수캠퍼스,LL,다이나믹,92,43,106,52
20233,A,골목상권,3110091,리움미술관,LL,다이나믹,73,45,107,52
20231,A,골목상권,3110091,리움미술관,LL,다이나믹,64,46,104,52
20232,A,골목상권,3110091,리움미술관,LL,다이나믹,69,46,106,52
20233,A,골목상권,3110092,NH농협은행 보광동지점,HL,상권축소,117,49,107,52
20231,A,골목상권,3110092,NH농협은행 보광동지점,HL,상권축소,114,49,104,52
20232,A,골목상권,3110092,NH농협은행 보광동지점,HL,상권축소,116,49,106,52
20233,A,골목상권,3110093,우사단길,LL,다이나믹,101,48,107,52
20231,A,골목상권,3110093,우사단길,LL,다이나믹,96,48,104,52
20232,A,골목상권,3110093,우사단길,LL,다이나믹,98,48,106,52
20233,A,골목상권,3110094,오산중학교,HH,정체,116,67,107,52
20231,A,골목상권,3110094,오산중학교,HH,정체,116,68,104,52
20232,A,골목상권,3110094,오산중학교,HH,정체,113,68,106,52
20233,A,골목상권,3110095,한강진역 3번,LL,다이나믹,66,45,107,52
20231,A,골목상권,3110095,한강진역 3번,LL,다이나믹,65,45,104,52
20232,A,골목상권,3110095,한강진역 3번,LL,다이나믹,64,45,106,52
20233,A,골목상권,3110096,한남힐사이드아파트,LL,다이나믹,91,50,107,52
20231,A,골목상권,3110096,한남힐사이드아파트,LL,다이나믹,95,48,104,52
20232,A,골목상권,3110096,한남힐사이드아파트,LL,다이나믹,96,50,106,52
20233,A,골목상권,3110097,한남초등학교,LL,다이나믹,79,40,107,52
20231,A,골목상권,3110097,한남초등학교,LL,다이나믹,79,40,104,52
20232,A,골목상권,3110097,한남초등학교,LL,다이나믹,76,40,106,52
20233,A,골목상권,3110098,서울독일학교,LL,다이나믹,74,42,107,52
20231,A,골목상권,3110098,서울독일학교,LL,다이나믹,71,41,104,52
20232,A,골목상권,3110098,서울독일학교,LL,다이나믹,73,42,106,52
20233,A,골목상권,3110099,유엔빌리지길,LL,다이나믹,85,51,107,52
20231,A,골목상권,3110099,유엔빌리지길,LL,다이나믹,85,49,104,52
20232,A,골목상권,3110099,유엔빌리지길,LL,다이나믹,83,51,106,52
20233,A,골목상권,3110100,옥수동우편취급국,LH,상권확장,105,57,107,52
20231,A,골목상권,3110100,옥수동우편취급국,HH,정체,109,57,104,52
20232,A,골목상권,3110100,옥수동우편취급국,LH,상권확장,102,57,106,52
20233,A,골목상권,3110101,옥정중학교,LL,다이나믹,106,49,107,52
20231,A,골목상권,3110101,옥정중학교,LL,다이나믹,104,47,104,52
20232,A,골목상권,3110101,옥정중학교,LL,다이나믹,106,47,106,52
20233,A,골목상권,3110102,옥수역 6번,LL,다이나믹,98,48,107,52
20231,A,골목상권,3110102,옥수역 6번,LL,다이나믹,92,48,104,52
20232,A,골목상권,3110102,옥수역 6번,LL,다이나믹,95,48,106,52
20233,A,골목상권,3110103,옥수터널,LL,다이나믹,79,42,107,52
20231,A,골목상권,3110103,옥수터널,LL,다이나믹,77,42,104,52
20232,A,골목상권,3110103,옥수터널,LL,다이나믹,76,42,106,52
20233,A,골목상권,3110104,신금호역 4번,LH,상권확장,79,57,107,52
20231,A,골목상권,3110104,신금호역 4번,LH,상권확장,76,57,104,52
20232,A,골목상권,3110104,신금호역 4번,LH,상권확장,77,57,106,52
20233,A,골목상권,3110108,성동구립금호도서관,LH,상권확장,105,61,107,52
20231,A,골목상권,3110108,성동구립금호도서관,LH,상권확장,97,62,104,52
20232,A,골목상권,3110108,성동구립금호도서관,LH,상권확장,100,62,106,52
20233,A,골목상권,3110109,금호삼성래미안아파트,LL,다이나믹,103,51,107,52
20231,A,골목상권,3110109,금호삼성래미안아파트,LL,다이나믹,102,49,104,52
20232,A,골목상권,3110109,금호삼성래미안아파트,LL,다이나믹,101,51,106,52
20231,A,골목상권,3110129,성원어린이공원,LH,상권확장,72,57,104,52
20232,A,골목상권,3110129,성원어린이공원,LH,상권확장,72,56,106,52
20233,A,골목상권,3110130,답십리역 6번,LH,상권확장,103,65,107,52
20231,A,골목상권,3110130,답십리역 6번,LH,상권확장,104,64,104,52
20232,A,골목상권,3110130,답십리역 6번,LH,상권확장,105,64,106,52
20233,A,골목상권,3110131,성수동카페거리,LH,상권확장,75,52,107,52
20233,A,골목상권,3110129,성원어린이공원,LH,상권확장,75,56,107,52
20231,A,골목상권,3110131,성수동카페거리,LH,상권확장,76,52,104,52
20232,A,골목상권,3110131,성수동카페거리,LH,상권확장,74,52,106,52
20233,A,골목상권,3110132,성수2가3동주민센터,LL,다이나믹,97,52,107,52
20231,A,골목상권,3110132,성수2가3동주민센터,LL,다이나믹,95,50,104,52
20232,A,골목상권,3110132,성수2가3동주민센터,LL,다이나믹,97,50,106,52
20233,A,골목상권,3110136,경수초등학교,LL,다이나믹,83,49,107,52
20231,A,골목상권,3110136,경수초등학교,LL,다이나믹,84,49,104,52
20232,A,골목상권,3110136,경수초등학교,LL,다이나믹,86,49,106,52
20233,A,골목상권,3110105,금동어린이공원,HL,상권축소,115,51,107,52
20231,A,골목상권,3110105,금동어린이공원,HL,상권축소,112,51,104,52
20232,A,골목상권,3110105,금동어린이공원,HL,상권축소,114,51,106,52
20233,A,골목상권,3110106,금북초등학교,LH,상권확장,100,56,107,52
20231,A,골목상권,3110106,금북초등학교,LH,상권확장,99,56,104,52
20232,A,골목상권,3110106,금북초등학교,LH,상권확장,102,56,106,52
20233,A,골목상권,3110107,금호사거리,HH,정체,119,75,107,52
20231,A,골목상권,3110107,금호사거리,HH,정체,118,75,104,52
20232,A,골목상권,3110107,금호사거리,HH,정체,120,75,106,52
20233,A,골목상권,3110112,행당역 2번,HH,정체,125,55,107,52
20231,A,골목상권,3110112,행당역 2번,HH,정체,122,54,104,52
20232,A,골목상권,3110112,행당역 2번,HH,정체,121,55,106,52
20233,A,골목상권,3110113,응봉산,HL,상권축소,112,46,107,52
20231,A,골목상권,3110113,응봉산,HL,상권축소,110,46,104,52
20232,A,골목상권,3110113,응봉산,HL,상권축소,111,46,106,52
20233,A,골목상권,3110114,왕십리파출소,LL,다이나믹,94,50,107,52
20231,A,골목상권,3110114,왕십리파출소,LL,다이나믹,87,50,104,52
20232,A,골목상권,3110114,왕십리파출소,LL,다이나믹,90,50,106,52
20233,A,골목상권,3110133,서울교통공사,HH,정체,134,65,107,52
20231,A,골목상권,3110133,서울교통공사,HH,정체,130,63,104,52
20232,A,골목상권,3110133,서울교통공사,HH,정체,133,63,106,52
20233,A,골목상권,3110134,성수119안전센터,HL,상권축소,109,47,107,52
20231,A,골목상권,3110134,성수119안전센터,HL,상권축소,105,47,104,52
20232,A,골목상권,3110134,성수119안전센터,HL,상권축소,107,47,106,52
20233,A,골목상권,3110135,성동세무서,HH,정체,133,57,107,52
20231,A,골목상권,3110135,성동세무서,HH,정체,130,57,104,52
20232,A,골목상권,3110135,성동세무서,HH,정체,133,57,106,52
20233,A,골목상권,3110115,상왕십리역 3번,HH,정체,115,58,107,52
20231,A,골목상권,3110115,상왕십리역 3번,HH,정체,114,58,104,52
20232,A,골목상권,3110115,상왕십리역 3번,HH,정체,113,58,106,52
20233,A,골목상권,3110116,청계천박물관,LH,상권확장,100,55,107,52
20231,A,골목상권,3110116,청계천박물관,LH,상권확장,94,54,104,52
20232,A,골목상권,3110116,청계천박물관,LH,상권확장,97,54,106,52
20233,A,골목상권,3110117,성동구보건소,HL,상권축소,138,50,107,52
20231,A,골목상권,3110117,성동구보건소,HL,상권축소,133,50,104,52
20232,A,골목상권,3110117,성동구보건소,HL,상권축소,135,50,106,52
20233,A,골목상권,3110118,왕십리역 9번,HL,상권축소,111,45,107,52
20231,A,골목상권,3110118,왕십리역 9번,HL,상권축소,108,45,104,52
20232,A,골목상권,3110118,왕십리역 9번,HL,상권축소,110,45,106,52
20233,A,골목상권,3110119,마장지하차도,HH,정체,126,54,107,52
20231,A,골목상권,3110119,마장지하차도,HH,정체,118,55,104,52
20232,A,골목상권,3110119,마장지하차도,HH,정체,121,54,106,52
20233,A,골목상권,3110120,서울숲카페거리,LL,다이나믹,42,34,107,52
20231,A,골목상권,3110120,서울숲카페거리,LL,다이나믹,42,35,104,52
20232,A,골목상권,3110120,서울숲카페거리,LL,다이나믹,41,34,106,52
20233,A,골목상권,3110121,한양대역 4번,LH,상권확장,93,57,107,52
20231,A,골목상권,3110121,한양대역 4번,LH,상권확장,88,58,104,52
20232,A,골목상권,3110121,한양대역 4번,LH,상권확장,92,57,106,52
20233,A,골목상권,3110122,마장역 2번,HH,정체,111,61,107,52
20231,A,골목상권,3110122,마장역 2번,HH,정체,108,59,104,52
20232,A,골목상권,3110122,마장역 2번,HH,정체,110,60,106,52
20233,A,골목상권,3110123,마장역 3번,HH,정체,125,58,107,52
20231,A,골목상권,3110123,마장역 3번,HH,정체,121,58,104,52
20232,A,골목상권,3110123,마장역 3번,HH,정체,123,58,106,52
20233,A,골목상권,3110124,뚝섬역교차로,LH,상권확장,89,58,107,52
20231,A,골목상권,3110124,뚝섬역교차로,LH,상권확장,89,58,104,52
20232,A,골목상권,3110124,뚝섬역교차로,LH,상권확장,88,59,106,52
20233,A,골목상권,3110125,사근동살곶이상점가,LH,상권확장,101,60,107,52
20231,A,골목상권,3110125,사근동살곶이상점가,LH,상권확장,101,59,104,52
20233,A,골목상권,3110126,서울숲역 1번,LH,상권확장,50,58,107,52
20231,A,골목상권,3110126,서울숲역 1번,LH,상권확장,57,55,104,52
20232,A,골목상권,3110125,사근동살곶이상점가,LH,상권확장,101,60,106,52
20232,A,골목상권,3110126,서울숲역 1번,LH,상권확장,50,58,106,52
20233,A,골목상권,3110127,성수1가1동주민센터,LL,다이나믹,72,47,107,52
20231,A,골목상권,3110127,성수1가1동주민센터,LL,다이나믹,70,48,104,52
20232,A,골목상권,3110127,성수1가1동주민센터,LL,다이나믹,71,48,106,52
20233,A,골목상권,3110128,성원중학교,HH,정체,111,54,107,52
20231,A,골목상권,3110128,성원중학교,HH,정체,106,55,104,52
20232,A,골목상권,3110128,성원중학교,HH,정체,109,55,106,52
20233,A,골목상권,3110157,자양동우체국,LL,다이나믹,96,49,107,52
