기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수
20212,A,골목상권,3110110,상왕십리역 6번,10,,,,,1,,,,,,,,,,,,,1,2
20211,A,골목상권,3110110,상왕십리역 6번,10,,,,,1,,,,,,,,,,,,,1,2
20204,A,골목상권,3110110,상왕십리역 6번,10,,,,,1,,,,,,,,,,,,,1,2
20224,A,골목상권,3110111,대현산장미원,5,,,,,,,,,,,,,,,,,,,4
20223,A,골목상권,3110111,대현산장미원,5,,,,,,,,,,,,,,,,,,,4
20222,A,골목상권,3110111,대현산장미원,5,,,,,,,,,,,,,,,,,,,4
20221,A,골목상권,3110111,대현산장미원,5,,,,,,,,,,,,,,,,,,,4
20214,A,골목상권,3110111,대현산장미원,5,,,,,,,,,,,,,,,,,,,4
20213,A,골목상권,3110111,대현산장미원,5,,,,,,,,,,,,,,,,,,,4
20212,A,골목상권,3110111,대현산장미원,5,,,,,,,,,,,,,,,,,,,4
20211,A,골목상권,3110111,대현산장미원,5,,,,,,,,,,,,,,,,,,,4
20204,A,골목상권,3110111,대현산장미원,5,,,,,,,,,,,,,,,,,,,4
20224,A,골목상권,3110087,이태원엔틱가구거리,3,1,,,,,,,,,,,,,,,,,,
20223,A,골목상권,3110087,이태원엔틱가구거리,3,1,,,,,,,,,,,,,,,,,,
20222,A,골목상권,3110087,이태원엔틱가구거리,3,1,,,,,,,,,,,,,,,,,,
20221,A,골목상권,3110087,이태원엔틱가구거리,3,1,,,,,,,,,,,,,,,,,,
20214,A,골목상권,3110087,이태원엔틱가구거리,3,1,,,,,,,,,,,,,,,,,,
20213,A,골목상권,3110087,이태원엔틱가구거리,3,1,,,,,,,,,,,,,,,,,,
20212,A,골목상권,3110087,이태원엔틱가구거리,3,1,,,,,,,,,,,,,,,,,,
20211,A,골목상권,3110087,이태원엔틱가구거리,3,1,,,,,,,,,,,,,,,,,,
20204,A,골목상권,3110087,이태원엔틱가구거리,3,1,,,,,,,,,,,,,,,,,,
20224,A,골목상권,3110088,오산고등학교,10,7,,,,,,,,,,,,,,,,,,1
20223,A,골목상권,3110088,오산고등학교,10,7,,,,,,,,,,,,,,,,,,1
20222,A,골목상권,3110088,오산고등학교,10,7,,,,,,,,,,,,,,,,,,1
20221,A,골목상권,3110088,오산고등학교,10,7,,,,,,,,,,,,,,,,,,1
20214,A,골목상권,3110088,오산고등학교,10,7,,,,,,,,,,,,,,,,,,1
20213,A,골목상권,3110088,오산고등학교,10,7,,,,,,,,,,,,,,,,,,1
20212,A,골목상권,3110088,오산고등학교,10,7,,,,,,,,,,,,,,,,,,1
20211,A,골목상권,3110088,오산고등학교,10,7,,,,,,,,,,,,,,,,,,1
20204,A,골목상권,3110088,오산고등학교,10,7,,,,,,,,,,,,,,,,,,1
20224,A,골목상권,3110089,서빙고동주민센터,5,1,,,,,,,,,,,,,,,,,,2
20223,A,골목상권,3110089,서빙고동주민센터,5,1,,,,,,,,,,,,,,,,,,2
20222,A,골목상권,3110089,서빙고동주민센터,5,1,,,,,,,,,,,,,,,,,,2
20221,A,골목상권,3110089,서빙고동주민센터,5,1,,,,,,,,,,,,,,,,,,2
20214,A,골목상권,3110089,서빙고동주민센터,5,1,,,,,,,,,,,,,,,,,,2
20213,A,골목상권,3110089,서빙고동주민센터,5,1,,,,,,,,,,,,,,,,,,2
20212,A,골목상권,3110089,서빙고동주민센터,5,1,,,,,,,,,,,,,,,,,,2
20211,A,골목상권,3110089,서빙고동주민센터,5,1,,,,,,,,,,,,,,,,,,2
20204,A,골목상권,3110089,서빙고동주민센터,5,1,,,,,,,,,,,,,,,,,,2
20224,A,골목상권,3110090,한국폴리텍대학서울정수캠퍼스,9,7,,,,,,,,,,,,,,,,,,1
20223,A,골목상권,3110090,한국폴리텍대학서울정수캠퍼스,9,7,,,,,,,,,,,,,,,,,,1
20222,A,골목상권,3110090,한국폴리텍대학서울정수캠퍼스,9,7,,,,,,,,,,,,,,,,,,1
20221,A,골목상권,3110090,한국폴리텍대학서울정수캠퍼스,9,7,,,,,,,,,,,,,,,,,,1
20214,A,골목상권,3110090,한국폴리텍대학서울정수캠퍼스,9,7,,,,,,,,,,,,,,,,,,1
20213,A,골목상권,3110090,한국폴리텍대학서울정수캠퍼스,9,7,,,,,,,,,,,,,,,,,,1
20212,A,골목상권,3110090,한국폴리텍대학서울정수캠퍼스,9,7,,,,,,,,,,,,,,,,,,1
20211,A,골목상권,3110090,한국폴리텍대학서울정수캠퍼스,9,7,,,,,,,,,,,,,,,,,,1
20204,A,골목상권,3110090,한국폴리텍대학서울정수캠퍼스,9,7,,,,,,,,,,,,,,,,,,1
20224,A,골목상권,3110091,리움미술관,4,3,,,,,,,,,,,,,,,,,,
20223,A,골목상권,3110091,리움미술관,4,3,,,,,,,,,,,,,,,,,,
20222,A,골목상권,3110091,리움미술관,4,3,,,,,,,,,,,,,,,,,,
20221,A,골목상권,3110091,리움미술관,4,3,,,,,,,,,,,,,,,,,,
20214,A,골목상권,3110091,리움미술관,4,3,,,,,,,,,,,,,,,,,,
20213,A,골목상권,3110091,리움미술관,4,3,,,,,,,,,,,,,,,,,,
20212,A,골목상권,3110091,리움미술관,4,3,,,,,,,,,,,,,,,,,,
20211,A,골목상권,3110091,리움미술관,4,3,,,,,,,,,,,,,,,,,,
20204,A,골목상권,3110091,리움미술관,4,3,,,,,,,,,,,,,,,,,,
20224,A,골목상권,3110092,NH농협은행 보광동지점,15,,,,,3,1,,,,,,,,,,,,,1
20223,A,골목상권,3110092,NH농협은행 보광동지점,15,,,,,3,1,,,,,,,,,,,,,1
20222,A,골목상권,3110092,NH농협은행 보광동지점,15,,,,,3,1,,,,,,,,,,,,,1
20221,A,골목상권,3110092,NH농협은행 보광동지점,15,,,,,3,1,,,,,,,,,,,,,1
20214,A,골목상권,3110092,NH농협은행 보광동지점,15,,,,,3,1,,,,,,,,,,,,,1
20213,A,골목상권,3110092,NH농협은행 보광동지점,15,,,,,3,1,,,,,,,,,,,,,1
20212,A,골목상권,3110092,NH농협은행 보광동지점,15,,,,,3,1,,,,,,,,,,,,,1
20211,A,골목상권,3110092,NH농협은행 보광동지점,15,,,,,3,1,,,,,,,,,,,,,1
20204,A,골목상권,3110092,NH농협은행 보광동지점,15,,,,,3,1,,,,,,,,,,,,,1
20224,A,골목상권,3110093,우사단길,32,2,,,,6,1,,,,,,1,,,,,,,10
20223,A,골목상권,3110093,우사단길,32,2,,,,6,1,,,,,,1,,,,,,,10
20222,A,골목상권,3110093,우사단길,32,2,,,,6,1,,,,,,1,,,,,,,10
20221,A,골목상권,3110093,우사단길,32,2,,,,6,1,,,,,,1,,,,,,,10
20214,A,골목상권,3110093,우사단길,32,2,,,,6,1,,,,,,1,,,,,,,10
20213,A,골목상권,3110093,우사단길,32,2,,,,6,1,,,,,,1,,,,,,,10
20212,A,골목상권,3110093,우사단길,32,2,,,,6,1,,,,,,1,,,,,,,10
20211,A,골목상권,3110093,우사단길,32,2,,,,6,1,,,,,,1,,,,,,,10
20204,A,골목상권,3110093,우사단길,32,2,,,,6,1,,,,,,1,,,,,,,10
20224,A,골목상권,3110094,오산중학교,3,,,,,,,,,,,,,,,,,,,1
20223,A,골목상권,3110094,오산중학교,3,,,,,,,,,,,,,,,,,,,1
20222,A,골목상권,3110094,오산중학교,3,,,,,,,,,,,,,,,,,,,1
20221,A,골목상권,3110094,오산중학교,3,,,,,,,,,,,,,,,,,,,1
20213,A,골목상권,3110094,오산중학교,3,,,,,,,,,,,,,,,,,,,1
20212,A,골목상권,3110094,오산중학교,3,,,,,,,,,,,,,,,,,,,1
20211,A,골목상권,3110094,오산중학교,3,,,,,,,,,,,,,,,,,,,1
20204,A,골목상권,3110094,오산중학교,3,,,,,,,,,,,,,,,,,,,1
20224,A,골목상권,3110095,한강진역 3번,11,5,,,,,,,,,,,,,,,,,,1
20223,A,골목상권,3110095,한강진역 3번,11,5,,,,,,,,,,,,,,,,,,1
20222,A,골목상권,3110095,한강진역 3번,11,5,,,,,,,,,,,,,,,,,,1
20221,A,골목상권,3110095,한강진역 3번,11,5,,,,,,,,,,,,,,,,,,1
20214,A,골목상권,3110095,한강진역 3번,11,5,,,,,,,,,,,,,,,,,,1
20213,A,골목상권,3110095,한강진역 3번,11,5,,,,,,,,,,,,,,,,,,1
20212,A,골목상권,3110095,한강진역 3번,11,5,,,,,,,,,,,,,,,,,,1
20211,A,골목상권,3110095,한강진역 3번,11,5,,,,,,,,,,,,,,,,,,1
20204,A,골목상권,3110095,한강진역 3번,11,5,,,,,,,,,,,,,,,,,,1
20224,A,골목상권,3110096,한남힐사이드아파트,1,,,,,,,,,,,,,,,,,,,
20223,A,골목상권,3110096,한남힐사이드아파트,1,,,,,,,,,,,,,,,,,,,
20222,A,골목상권,3110096,한남힐사이드아파트,1,,,,,,,,,,,,,,,,,,,
20221,A,골목상권,3110096,한남힐사이드아파트,1,,,,,,,,,,,,,,,,,,,
20214,A,골목상권,3110096,한남힐사이드아파트,1,,,,,,,,,,,,,,,,,,,
20213,A,골목상권,3110096,한남힐사이드아파트,1,,,,,,,,,,,,,,,,,,,
20212,A,골목상권,3110096,한남힐사이드아파트,1,,,,,,,,,,,,,,,,,,,
20211,A,골목상권,3110096,한남힐사이드아파트,1,,,,,,,,,,,,,,,,,,,
20204,A,골목상권,3110096,한남힐사이드아파트,1,,,,,,,,,,,,,,,,,,,
20224,A,골목상권,3110098,서울독일학교,7,3,,,,,,,,,,,,,,,,,,1
20223,A,골목상권,3110098,서울독일학교,7,3,,,,,,,,,,,,,,,,,,1
20222,A,골목상권,3110098,서울독일학교,7,3,,,,,,,,,,,,,,,,,,1
20221,A,골목상권,3110098,서울독일학교,7,3,,,,,,,,,,,,,,,,,,1
20214,A,골목상권,3110098,서울독일학교,7,3,,,,,,,,,,,,,,,,,,1
20213,A,골목상권,3110098,서울독일학교,7,3,,,,,,,,,,,,,,,,,,1
20212,A,골목상권,3110098,서울독일학교,7,3,,,,,,,,,,,,,,,,,,1
20211,A,골목상권,3110098,서울독일학교,7,3,,,,,,,,,,,,,,,,,,1
20204,A,골목상권,3110098,서울독일학교,7,3,,,,,,,,,,,,,,,,,,1
20224,A,골목상권,3110099,유엔빌리지길,7,4,,,,,,,,,,,1,,,,,,,1
20223,A,골목상권,3110099,유엔빌리지길,7,4,,,,,,,,,,,1,,,,,,,1
20222,A,골목상권,3110099,유엔빌리지길,7,4,,,,,,,,,,,1,,,,,,,1
20221,A,골목상권,3110099,유엔빌리지길,7,4,,,,,,,,,,,1,,,,,,,1
20214,A,골목상권,3110099,유엔빌리지길,7,4,,,,,,,,,,,1,,,,,,,1
20213,A,골목상권,3110099,유엔빌리지길,7,4,,,,,,,,,,,1,,,,,,,1
20212,A,골목상권,3110099,유엔빌리지길,7,4,,,,,,,,,,,1,,,,,,,1
20211,A,골목상권,3110099,유엔빌리지길,7,4,,,,,,,,,,,1,,,,,,,1
20204,A,골목상권,3110099,유엔빌리지길,7,4,,,,,,,,,,,1,,,,,,,1
20224,A,골목상권,3110100,옥수동우편취급국,5,1,,,,1,,,,,,,,,,,,,,2
20223,A,골목상권,3110100,옥수동우편취급국,5,1,,,,1,,,,,,,,,,,,,,2
20222,A,골목상권,3110100,옥수동우편취급국,5,1,,,,1,,,,,,,,,,,,,,2
20221,A,골목상권,3110100,옥수동우편취급국,5,1,,,,1,,,,,,,,,,,,,,2
20214,A,골목상권,3110100,옥수동우편취급국,5,1,,,,1,,,,,,,,,,,,,,2
20213,A,골목상권,3110100,옥수동우편취급국,5,1,,,,1,,,,,,,,,,,,,,2
20212,A,골목상권,3110100,옥수동우편취급국,5,1,,,,1,,,,,,,,,,,,,,2
20211,A,골목상권,3110100,옥수동우편취급국,5,1,,,,1,,,,,,,,,,,,,,2
20204,A,골목상권,3110100,옥수동우편취급국,5,1,,,,1,,,,,,,,,,,,,,2
20224,A,골목상권,3110101,옥정중학교,7,,,,,,,,,,,,,,,,,,,4
20223,A,골목상권,3110101,옥정중학교,7,,,,,,,,,,,,,,,,,,,4
20222,A,골목상권,3110101,옥정중학교,7,,,,,,,,,,,,,,,,,,,4
20221,A,골목상권,3110101,옥정중학교,7,,,,,,,,,,,,,,,,,,,4
20214,A,골목상권,3110101,옥정중학교,7,,,,,,,,,,,,,,,,,,,4
20213,A,골목상권,3110101,옥정중학교,7,,,,,,,,,,,,,,,,,,,4
20212,A,골목상권,3110101,옥정중학교,7,,,,,,,,,,,,,,,,,,,4
20211,A,골목상권,3110101,옥정중학교,7,,,,,,,,,,,,,,,,,,,4
20204,A,골목상권,3110101,옥정중학교,7,,,,,,,,,,,,,,,,,,,4
20224,A,골목상권,3110102,옥수역 6번,12,1,,,,2,,,,,,,,,,,,,,2
20223,A,골목상권,3110102,옥수역 6번,12,1,,,,2,,,,,,,,,,,,,,2
20222,A,골목상권,3110102,옥수역 6번,12,1,,,,2,,,,,,,,,,,,,,2
20221,A,골목상권,3110102,옥수역 6번,12,1,,,,2,,,,,,,,,,,,,,2
20214,A,골목상권,3110102,옥수역 6번,12,1,,,,2,,,,,,,,,,,,,,2
20213,A,골목상권,3110102,옥수역 6번,12,1,,,,2,,,,,,,,,,,,,,2
20212,A,골목상권,3110102,옥수역 6번,12,1,,,,2,,,,,,,,,,,,,,2
20211,A,골목상권,3110102,옥수역 6번,12,1,,,,2,,,,,,,,,,,,,,2
20204,A,골목상권,3110102,옥수역 6번,12,1,,,,2,,,,,,,,,,,,,,2
20224,A,골목상권,3110103,옥수터널,2,,,,,,,,,,,,,,,,,,,1
20223,A,골목상권,3110103,옥수터널,2,,,,,,,,,,,,,,,,,,,1
20222,A,골목상권,3110103,옥수터널,2,,,,,,,,,,,,,,,,,,,1
20221,A,골목상권,3110103,옥수터널,2,,,,,,,,,,,,,,,,,,,1
20214,A,골목상권,3110103,옥수터널,2,,,,,,,,,,,,,,,,,,,1
20213,A,골목상권,3110103,옥수터널,2,,,,,,,,,,,,,,,,,,,1
20212,A,골목상권,3110103,옥수터널,2,,,,,,,,,,,,,,,,,,,1
20211,A,골목상권,3110103,옥수터널,2,,,,,,,,,,,,,,,,,,,1
20204,A,골목상권,3110103,옥수터널,2,,,,,,,,,,,,,,,,,,,1
20224,A,골목상권,3110104,신금호역 4번,10,,,,,1,,,,,,,,,,,,,,4
20223,A,골목상권,3110104,신금호역 4번,10,,,,,1,,,,,,,,,,,,,,4
20222,A,골목상권,3110104,신금호역 4번,10,,,,,1,,,,,,,,,,,,,,4
20221,A,골목상권,3110104,신금호역 4번,10,,,,,1,,,,,,,,,,,,,,4
20214,A,골목상권,3110104,신금호역 4번,10,,,,,1,,,,,,,,,,,,,,4
20213,A,골목상권,3110104,신금호역 4번,10,,,,,1,,,,,,,,,,,,,,4
20212,A,골목상권,3110104,신금호역 4번,10,,,,,1,,,,,,,,,,,,,,4
20211,A,골목상권,3110104,신금호역 4번,10,,,,,1,,,,,,,,,,,,,,4
20204,A,골목상권,3110104,신금호역 4번,10,,,,,1,,,,,,,,,,,,,,4
20224,A,골목상권,3110108,성동구립금호도서관,9,1,,,,1,,,,,,,,,,,,,,4
20223,A,골목상권,3110108,성동구립금호도서관,9,1,,,,1,,,,,,,,,,,,,,4
20222,A,골목상권,3110108,성동구립금호도서관,9,1,,,,1,,,,,,,,,,,,,,4
20221,A,골목상권,3110108,성동구립금호도서관,9,1,,,,1,,,,,,,,,,,,,,4
20214,A,골목상권,3110108,성동구립금호도서관,9,1,,,,1,,,,,,,,,,,,,,4
20213,A,골목상권,3110108,성동구립금호도서관,9,1,,,,1,,,,,,,,,,,,,,4
20212,A,골목상권,3110108,성동구립금호도서관,9,1,,,,1,,,,,,,,,,,,,,4
20211,A,골목상권,3110108,성동구립금호도서관,9,1,,,,1,,,,,,,,,,,,,,4
20204,A,골목상권,3110108,성동구립금호도서관,9,1,,,,1,,,,,,,,,,,,,,4
20224,A,골목상권,3110109,금호삼성래미안아파트,9,,,,,1,,,,,,,,,,,,,,4
20223,A,골목상권,3110109,금호삼성래미안아파트,9,,,,,1,,,,,,,,,,,,,,4
20222,A,골목상권,3110109,금호삼성래미안아파트,9,,,,,1,,,,,,,,,,,,,,4
20221,A,골목상권,3110109,금호삼성래미안아파트,9,,,,,1,,,,,,,,,,,,,,4
20214,A,골목상권,3110109,금호삼성래미안아파트,9,,,,,1,,,,,,,,,,,,,,4
20213,A,골목상권,3110109,금호삼성래미안아파트,9,,,,,1,,,,,,,,,,,,,,4
20212,A,골목상권,3110109,금호삼성래미안아파트,9,,,,,1,,,,,,,,,,,,,,4
20211,A,골목상권,3110109,금호삼성래미안아파트,9,,,,,1,,,,,,,,,,,,,,4
20204,A,골목상권,3110109,금호삼성래미안아파트,9,,,,,1,,,,,,,,,,,,,,4
20224,A,골목상권,3110129,성원어린이공원,3,,,,,,,,,,,,,,,,,,,2
20223,A,골목상권,3110129,성원어린이공원,3,,,,,,,,,,,,,,,,,,,2
20222,A,골목상권,3110129,성원어린이공원,3,,,,,,,,,,,,,,,,,,,2
20221,A,골목상권,3110129,성원어린이공원,3,,,,,,,,,,,,,,,,,,,2
20214,A,골목상권,3110129,성원어린이공원,3,,,,,,,,,,,,,,,,,,,2
20213,A,골목상권,3110129,성원어린이공원,3,,,,,,,,,,,,,,,,,,,2
20212,A,골목상권,3110129,성원어린이공원,3,,,,,,,,,,,,,,,,,,,2
20211,A,골목상권,3110129,성원어린이공원,3,,,,,,,,,,,,,,,,,,,2
20204,A,골목상권,3110129,성원어린이공원,3,,,,,,,,,,,,,,,,,,,2
20224,A,골목상권,3110130,답십리역 6번,1,,,,,,,,,,,,,,,,,,,
20223,A,골목상권,3110130,답십리역 6번,1,,,,,,,,,,,,,,,,,,,
20222,A,골목상권,3110130,답십리역 6번,1,,,,,,,,,,,,,,,,,,,
20221,A,골목상권,3110130,답십리역 6번,1,,,,,,,,,,,,,,,,,,,
20214,A,골목상권,3110130,답십리역 6번,1,,,,,,,,,,,,,,,,,,,
20213,A,골목상권,3110130,답십리역 6번,1,,,,,,,,,,,,,,,,,,,
20212,A,골목상권,3110130,답십리역 6번,1,,,,,,,,,,,,,,,,,,,
20211,A,골목상권,3110130,답십리역 6번,1,,,,,,,,,,,,,,,,,,,
20204,A,골목상권,3110130,답십리역 6번,1,,,,,,,,,,,,,,,,,,,
20224,A,골목상권,3110131,성수동카페거리,5,,1,,,,,,,,,,,,,,,,,3
20223,A,골목상권,3110131,성수동카페거리,5,,1,,,,,,,,,,,,,,,,,3
20222,A,골목상권,3110131,성수동카페거리,5,,1,,,,,,,,,,,,,,,,,3
20221,A,골목상권,3110131,성수동카페거리,5,,1,,,,,,,,,,,,,,,,,3
20214,A,골목상권,3110131,성수동카페거리,5,,1,,,,,,,,,,,,,,,,,3
20213,A,골목상권,3110131,성수동카페거리,5,,1,,,,,,,,,,,,,,,,,3
20212,A,골목상권,3110131,성수동카페거리,5,,1,,,,,,,,,,,,,,,,,3
20211,A,골목상권,3110131,성수동카페거리,5,,1,,,,,,,,,,,,,,,,,3
20204,A,골목상권,3110131,성수동카페거리,5,,1,,,,,,,,,,,,,,,,,3
20222,A,골목상권,3110114,왕십리파출소,3,,,,,1,,,,,,,,,,,,,,1
20224,A,골목상권,3110132,성수2가3동주민센터,9,1,,,,,,,,,,,,,,,,,,3
20223,A,골목상권,3110132,성수2가3동주민센터,9,1,,,,,,,,,,,,,,,,,,3
20222,A,골목상권,3110132,성수2가3동주민센터,9,1,,,,,,,,,,,,,,,,,,3
20221,A,골목상권,3110132,성수2가3동주민센터,9,1,,,,,,,,,,,,,,,,,,3
20214,A,골목상권,3110132,성수2가3동주민센터,9,1,,,,,,,,,,,,,,,,,,3
20213,A,골목상권,3110132,성수2가3동주민센터,9,1,,,,,,,,,,,,,,,,,,3
20212,A,골목상권,3110132,성수2가3동주민센터,9,1,,,,,,,,,,,,,,,,,,3
20211,A,골목상권,3110132,성수2가3동주민센터,9,1,,,,,,,,,,,,,,,,,,3
20204,A,골목상권,3110132,성수2가3동주민센터,9,1,,,,,,,,,,,,,,,,,,3
20224,A,골목상권,3110136,경수초등학교,11,,2,,,1,,,,,,,,,,,,,,5
20223,A,골목상권,3110136,경수초등학교,11,,2,,,1,,,,,,,,,,,,,,5
20222,A,골목상권,3110136,경수초등학교,11,,2,,,1,,,,,,,,,,,,,,5
20221,A,골목상권,3110136,경수초등학교,11,,2,,,1,,,,,,,,,,,,,,5
20214,A,골목상권,3110136,경수초등학교,11,,2,,,1,,,,,,,,,,,,,,5
20213,A,골목상권,3110136,경수초등학교,11,,2,,,1,,,,,,,,,,,,,,5
20212,A,골목상권,3110136,경수초등학교,11,,2,,,1,,,,,,,,,,,,,,5
20211,A,골목상권,3110136,경수초등학교,11,,2,,,1,,,,,,,,,,,,,,5
20204,A,골목상권,3110136,경수초등학교,11,,2,,,1,,,,,,,,,,,,,,5
20224,A,골목상권,3110105,금동어린이공원,12,,,,,,,,,,,,,,,,,,,4
20223,A,골목상권,3110105,금동어린이공원,12,,,,,,,,,,,,,,,,,,,4
20222,A,골목상권,3110105,금동어린이공원,12,,,,,,,,,,,,,,,,,,,4
20221,A,골목상권,3110105,금동어린이공원,12,,,,,,,,,,,,,,,,,,,4
20214,A,골목상권,3110105,금동어린이공원,12,,,,,,,,,,,,,,,,,,,4
20213,A,골목상권,3110105,금동어린이공원,12,,,,,,,,,,,,,,,,,,,4
20212,A,골목상권,3110105,금동어린이공원,12,,,,,,,,,,,,,,,,,,,4
20211,A,골목상권,3110105,금동어린이공원,12,,,,,,,,,,,,,,,,,,,4
20204,A,골목상권,3110105,금동어린이공원,12,,,,,,,,,,,,,,,,,,,4
20224,A,골목상권,3110106,금북초등학교,3,,,,,,,,,,,,,,,,,,,3
20223,A,골목상권,3110106,금북초등학교,3,,,,,,,,,,,,,,,,,,,3
20222,A,골목상권,3110106,금북초등학교,3,,,,,,,,,,,,,,,,,,,3
20221,A,골목상권,3110106,금북초등학교,3,,,,,,,,,,,,,,,,,,,3
20214,A,골목상권,3110106,금북초등학교,3,,,,,,,,,,,,,,,,,,,3
20213,A,골목상권,3110106,금북초등학교,3,,,,,,,,,,,,,,,,,,,3
20212,A,골목상권,3110106,금북초등학교,3,,,,,,,,,,,,,,,,,,,3
20211,A,골목상권,3110106,금북초등학교,3,,,,,,,,,,,,,,,,,,,3
20204,A,골목상권,3110106,금북초등학교,3,,,,,,,,,,,,,,,,,,,3
20224,A,골목상권,3110107,금호사거리,7,,,,,,,,,,,,,,,,,,,2
20223,A,골목상권,3110107,금호사거리,7,,,,,,,,,,,,,,,,,,,2
20222,A,골목상권,3110107,금호사거리,7,,,,,,,,,,,,,,,,,,,2
20221,A,골목상권,3110107,금호사거리,7,,,,,,,,,,,,,,,,,,,2
20214,A,골목상권,3110107,금호사거리,7,,,,,,,,,,,,,,,,,,,2
20213,A,골목상권,3110107,금호사거리,7,,,,,,,,,,,,,,,,,,,2
20212,A,골목상권,3110107,금호사거리,7,,,,,,,,,,,,,,,,,,,2
20211,A,골목상권,3110107,금호사거리,7,,,,,,,,,,,,,,,,,,,2
20204,A,골목상권,3110107,금호사거리,7,,,,,,,,,,,,,,,,,,,2
20224,A,골목상권,3110112,행당역 2번,8,,,,,1,,,,,,,,,,,,,,2
20223,A,골목상권,3110112,행당역 2번,8,,,,,1,,,,,,,,,,,,,,2
20222,A,골목상권,3110112,행당역 2번,8,,,,,1,,,,,,,,,,,,,,2
20221,A,골목상권,3110112,행당역 2번,8,,,,,1,,,,,,,,,,,,,,2
20214,A,골목상권,3110112,행당역 2번,8,,,,,1,,,,,,,,,,,,,,2
20213,A,골목상권,3110112,행당역 2번,8,,,,,1,,,,,,,,,,,,,,2
20212,A,골목상권,3110112,행당역 2번,8,,,,,1,,,,,,,,,,,,,,2
20211,A,골목상권,3110112,행당역 2번,8,,,,,1,,,,,,,,,,,,,,2
20204,A,골목상권,3110112,행당역 2번,8,,,,,1,,,,,,,,,,,,,,2
20224,A,골목상권,3110113,응봉산,9,,,,,2,,,,,,,,,,,,,,4
20223,A,골목상권,3110113,응봉산,9,,,,,2,,,,,,,,,,,,,,4
20222,A,골목상권,3110113,응봉산,9,,,,,2,,,,,,,,,,,,,,4
20221,A,골목상권,3110113,응봉산,9,,,,,2,,,,,,,,,,,,,,4
20214,A,골목상권,3110113,응봉산,9,,,,,2,,,,,,,,,,,,,,4
20213,A,골목상권,3110113,응봉산,9,,,,,2,,,,,,,,,,,,,,4
20212,A,골목상권,3110113,응봉산,9,,,,,2,,,,,,,,,,,,,,4
20211,A,골목상권,3110113,응봉산,9,,,,,2,,,,,,,,,,,,,,4
20204,A,골목상권,3110113,응봉산,9,,,,,2,,,,,,,,,,,,,,4
20224,A,골목상권,3110114,왕십리파출소,3,,,,,1,,,,,,,,,,,,,,1
20223,A,골목상권,3110114,왕십리파출소,3,,,,,1,,,,,,,,,,,,,,1
20221,A,골목상권,3110114,왕십리파출소,3,,,,,1,,,,,,,,,,,,,,1
20214,A,골목상권,3110114,왕십리파출소,3,,,,,1,,,,,,,,,,,,,,1
20213,A,골목상권,3110114,왕십리파출소,3,,,,,1,,,,,,,,,,,,,,1
20212,A,골목상권,3110114,왕십리파출소,3,,,,,1,,,,,,,,,,,,,,1
20211,A,골목상권,3110114,왕십리파출소,3,,,,,1,,,,,,,,,,,,,,1
20204,A,골목상권,3110114,왕십리파출소,3,,,,,1,,,,,,,,,,,,,,1
20224,A,골목상권,3110133,서울교통공사,3,1,,,,1,,,,,,,,,,,,,,
20223,A,골목상권,3110133,서울교통공사,3,1,,,,1,,,,,,,,,,,,,,
20222,A,골목상권,3110133,서울교통공사,3,1,,,,1,,,,,,,,,,,,,,
20221,A,골목상권,3110133,서울교통공사,3,1,,,,1,,,,,,,,,,,,,,
20214,A,골목상권,3110133,서울교통공사,3,1,,,,1,,,,,,,,,,,,,,
20213,A,골목상권,3110133,서울교통공사,3,1,,,,1,,,,,,,,,,,,,,
20212,A,골목상권,3110133,서울교통공사,3,1,,,,1,,,,,,,,,,,,,,
20211,A,골목상권,3110133,서울교통공사,3,1,,,,1,,,,,,,,,,,,,,
20204,A,골목상권,3110133,서울교통공사,3,1,,,,1,,,,,,,,,,,,,,
20224,A,골목상권,3110134,성수119안전센터,40,,,,,4,,,,,,,,,1,,,,,18
20223,A,골목상권,3110134,성수119안전센터,40,,,,,4,,,,,,,,,1,,,,,18
20222,A,골목상권,3110134,성수119안전센터,40,,,,,4,,,,,,,,,1,,,,,18
20221,A,골목상권,3110134,성수119안전센터,40,,,,,4,,,,,,,,,1,,,,,18
20214,A,골목상권,3110134,성수119안전센터,40,,,,,4,,,,,,,,,1,,,,,18
20213,A,골목상권,3110134,성수119안전센터,40,,,,,4,,,,,,,,,1,,,,,18
20212,A,골목상권,3110134,성수119안전센터,40,,,,,4,,,,,,,,,1,,,,,18
20211,A,골목상권,3110134,성수119안전센터,40,,,,,4,,,,,,,,,1,,,,,18
20204,A,골목상권,3110134,성수119안전센터,40,,,,,4,,,,,,,,,1,,,,,18
20224,A,골목상권,3110135,성동세무서,14,1,,,1,2,,,,,,,,,,,,,,6
20223,A,골목상권,3110135,성동세무서,14,1,,,1,2,,,,,,,,,,,,,,6
20222,A,골목상권,3110135,성동세무서,14,1,,,1,2,,,,,,,,,,,,,,6
20221,A,골목상권,3110135,성동세무서,14,1,,,1,2,,,,,,,,,,,,,,6
20214,A,골목상권,3110135,성동세무서,14,1,,,1,2,,,,,,,,,,,,,,6
